peso faixa inicial,Peso faixa final,VSD Full abaixo R$ 79,VSD Outros abaixo R$ 79,VSD Full a partir R$ 79 com 50% desconto,VSD Outros a partir R$ 79 com 50% desconto,VSD Categorias especiais 25% desconto FULL,VSD Categorias especiais 25% desconto outros,VRP Full abaixo R$ 79,VRP Outros abaixo R$ 79,VRP Full a partir R$ 79 com 50% desconto,VRP Outros a partir R$ 79 com 50% desconto,VRP Categorias especiais 25% desconto FULL,VRP Categorias especiais 25% desconto outros,ASD Full abaixo R$ 79,ASD Outros abaixo R$ 79,ASD Full a partir R$ 79 com 50% desconto,ASD Outros a partir R$ 79 com 50% desconto,ASD Categorias especiais 25% desconto FULL,ASD Categorias especiais 25% desconto outros,ARP Full abaixo R$ 79,ARP Outros abaixo R$ 79,ARP Full a partir R$ 79 com 50% desconto,ARP Outros a partir R$ 79 com 50% desconto,ARP Categorias especiais 25% desconto FULL,ARP Categorias especiais 25% desconto outros,RSD Full,RSD Outros,RRP Full,RRP Outros
0.0,0.5,33.9,33.9,16.95,16.95,25.42,25.42,33.9,53.9,16.95,26.95,25.42,40.42,33.9,33.9,20.34,20.34,27.12,27.12,33.9,53.9,20.34,32.34,27.12,43.12,33.9,33.9,33.9,53.9
0.500001,1.0,36.9,36.9,18.45,18.45,27.67,27.67,36.9,59.9,18.45,29.95,27.67,44.92,36.9,36.9,22.14,22.14,29.52,29.52,36.9,59.9,22.14,35.94,29.52,47.92,36.9,36.9,36.9,59.9
1.001,2.0,37.9,37.9,18.95,18.95,28.42,28.42,37.9,69.9,18.95,34.95,28.42,52.42,37.9,37.9,22.74,22.74,30.32,30.32,37.9,69.9,22.74,41.94,30.32,55.92,37.9,37.9,37.9,69.9
2.001,5.0,46.9,46.9,23.45,23.45,35.17,35.17,46.9,84.9,23.45,42.45,35.17,63.67,46.9,46.9,28.14,28.14,37.52,37.52,46.9,84.9,28.14,50.94,37.52,67.92,46.9,46.9,46.9,84.9
5.001,9.0,69.9,69.9,34.95,34.95,52.42,52.42,69.9,110.9,34.95,55.45,52.42,83.17,69.9,69.9,41.94,41.94,55.92,55.92,69.9,110.9,41.94,66.54,55.92,88.72,69.9,69.9,69.9,110.9
9.001,13.0,109.9,109.9,54.95,54.95,82.42,82.42,109.9,159.9,54.95,79.95,82.42,119.92,109.9,109.9,65.94,65.94,87.92,87.92,109.9,159.9,65.94,95.94,87.92,127.92,109.9,109.9,109.9,159.9
13.001,17.0,121.9,121.9,60.95,60.95,91.42,91.42,121.9,212.9,60.95,106.45,91.42,159.67,121.9,121.9,73.14,73.14,97.52,97.52,121.9,212.9,73.14,127.74,97.52,170.32,121.9,121.9,121.9,212.9
17.001,23.0,142.9,142.9,71.45,71.45,107.17,107.17,142.9,237.9,71.45,118.95,107.17,178.42,142.9,142.9,85.74,85.74,114.32,114.32,142.9,237.9,85.74,142.74,114.32,190.32,142.9,142.9,142.9,237.9
23.001,30.0,164.9,164.9,82.45,82.45,123.67,123.67,164.9,248.9,82.45,124.45,123.67,186.67,164.9,164.9,98.94,98.94,131.92,131.92,164.9,248.9,98.94,149.34,131.92,199.12,164.9,164.9,164.9,248.9
30.001,40.0,186.9,186.9,93.45,93.45,140.17,140.17,186.9,259.9,93.45,129.95,140.17,194.92,186.9,186.9,112.14,112.14,149.52,149.52,186.9,259.9,112.14,155.94,149.52,207.92,186.9,186.9,186.9,259.9
40.001,50.0,199.9,199.9,99.95,99.95,149.92,149.92,199.9,269.9,99.95,134.95,149.92,202.42,199.9,199.9,119.94,119.94,159.92,159.92,199.9,269.9,119.94,161.94,159.92,215.92,199.9,199.9,199.9,269.9
50.001,60.0,214.9,214.9,107.45,107.45,161.17,161.17,214.9,289.9,107.45,144.95,161.17,217.42,214.9,214.9,128.94,128.94,171.92,171.92,214.9,289.9,128.94,173.94,171.92,231.92,214.9,214.9,214.9,289.9
60.001,70.0,230.9,230.9,115.45,115.45,173.17,173.17,230.9,299.9,115.45,149.95,173.17,224.92,230.9,230.9,138.54,138.54,184.72,184.72,230.9,299.9,138.54,179.94,184.72,239.92,230.9,230.9,230.9,299.9
70.001,80.0,245.9,245.9,122.95,122.95,184.42,184.42,245.9,307.9,122.95,153.95,184.42,230.92,245.9,245.9,147.54,147.54,196.72,196.72,245.9,307.9,147.54,184.74,196.72,246.32,245.9,245.9,245.9,307.9
80.001,90.0,261.9,261.9,130.95,130.95,196.42,196.42,261.9,313.9,130.95,156.95,196.42,235.42,261.9,261.9,157.14,157.14,209.52,209.52,261.9,313.9,157.14,188.34,209.52,251.12,261.9,261.9,261.9,313.9
90.001,100.0,276.9,276.9,138.45,138.45,207.67,207.67,276.9,317.9,138.45,158.95,207.67,238.42,276.9,276.9,166.14,166.14,221.52,221.52,276.9,317.9,166.14,190.74,221.52,254.32,276.9,276.9,276.9,317.9
100.001,125.0,296.9,296.9,148.45,148.45,222.67,222.67,296.9,325.9,148.45,162.95,222.67,244.47,296.9,296.9,178.14,178.14,237.52,237.52,296.9,325.9,178.14,195.54,237.52,260.72,296.9,296.9,296.9,325.9
125.001,150.0,315.9,315.9,157.95,157.95,236.92,236.92,315.9,347.9,157.95,173.95,236.92,260.92,315.9,315.9,189.54,189.54,252.72,252.72,315.9,347.9,189.54,208.74,252.72,278.32,315.9,315.9,315.9,347.9
150.001,9999.0,331.9,331.9,165.95,165.95,248.92,248.92,331.9,364.9,165.95,182.45,248.92,273.67,331.9,331.9,199.14,199.14,265.52,265.52,331.9,364.9,199.14,218.94,265.52,291.92,331.9,331.9,331.9,364.9
